A Abreviation,Dog,H Abreviation,Matchup ID,Schedule Date,Schedule Playoff,Schedule Week,Stadium,Team Favorite Id,Team ID,Team's playing,Team_Season,Opponent Score,Schedule Season,Score Away,Score Home,Spread,Team Score
LVR,LVR,SF,LVRSF,10/8/2006,FALSE,5,Candlestick Park,SF,LVR,LVR@SF,2006_LVR,34,2006,20,34,3.5,20
LVR,LVR,SF,LVRSF,10/8/2006,FALSE,5,Candlestick Park,SF,SF,LVR@SF,2006_SF,20,2006,20,34,-3.5,34
LAR,LAR,DET,DETLAR,10/10/2010,FALSE,5,Ford Field,DET,DET,LAR@DET,2010_DET,6,2010,6,44,-3,44
LAR,LAR,DET,DETLAR,10/10/2010,FALSE,5,Ford Field,DET,LAR,LAR@DET,2010_LAR,44,2010,6,44,3,6
TB,TB,SF,SFTB,10/9/2011,FALSE,5,Candlestick Park,SF,SF,TB@SF,2011_SF,3,2011,3,48,-3,48
TB,TB,SF,SFTB,10/9/2011,FALSE,5,Candlestick Park,SF,TB,TB@SF,2011_TB,48,2011,3,48,3,3
TEN,TEN,PIT,PITTEN,10/9/2011,FALSE,5,Heinz Field,PIT,PIT,TEN@PIT,2011_PIT,17,2011,17,38,-3,38
TEN,TEN,PIT,PITTEN,10/9/2011,FALSE,5,Heinz Field,PIT,TEN,TEN@PIT,2011_TEN,38,2011,17,38,3,17
LAC,LAC,NO,LACNO,10/7/2012,FALSE,5,Louisiana Superdome,NO,LAC,LAC@NO,2012_LAC,31,2012,24,31,3.5,24
LAC,LAC,NO,LACNO,10/7/2012,FALSE,5,Louisiana Superdome,NO,NO,LAC@NO,2012_NO,24,2012,24,31,-3.5,31
LAR,LAR,PHI,LARPHI,10/5/2014,FALSE,5,Lincoln Financial Field,PHI,LAR,LAR@PHI,2014_LAR,34,2014,28,34,3.5,28
LAR,LAR,PHI,LARPHI,10/5/2014,FALSE,5,Lincoln Financial Field,PHI,PHI,LAR@PHI,2014_PHI,28,2014,28,34,-3.5,34
ATL,ATL,PIT,ATLPIT,10/7/2018,FALSE,5,Heinz Field,PIT,ATL,ATL@PIT,2018_ATL,41,2018,17,41,3.5,17
ATL,ATL,PIT,ATLPIT,10/7/2018,FALSE,5,Heinz Field,PIT,PIT,ATL@PIT,2018_PIT,17,2018,17,41,-3.5,41
JAX,JAX,CAR,CARJAX,10/6/2019,FALSE,5,Bank of America Stadium,CAR,CAR,JAX@CAR,2019_CAR,27,2019,27,34,-3,34
JAX,JAX,CAR,CARJAX,10/6/2019,FALSE,5,Bank of America Stadium,CAR,JAX,JAX@CAR,2019_JAX,34,2019,27,34,3,27
SEA,SEA,NE,NESEA,10/17/2004,FALSE,6,Gillette Stadium,NE,NE,SEA@NE,2004_NE,20,2004,20,30,-3.5,30
SEA,SEA,NE,NESEA,10/17/2004,FALSE,6,Gillette Stadium,NE,SEA,SEA@NE,2004_SEA,30,2004,20,30,3.5,20
NE,NE,DEN,DENNE,10/16/2005,FALSE,6,Sports Authority Field at Mile High,DEN,DEN,NE@DEN,2005_DEN,20,2005,20,28,-3,28
NE,NE,DEN,DENNE,10/16/2005,FALSE,6,Sports Authority Field at Mile High,DEN,NE,NE@DEN,2005_NE,28,2005,20,28,3,20
NYG,NYG,NO,NONYG,10/18/2009,FALSE,6,Louisiana Superdome,NO,NO,NYG@NO,2009_NO,27,2009,27,48,-3,48
NYG,NYG,NO,NONYG,10/18/2009,FALSE,6,Louisiana Superdome,NO,NYG,NYG@NO,2009_NYG,48,2009,27,48,3,27
PHI,PHI,MIN,MINPHI,10/13/2019,FALSE,6,U.S. Bank Stadium,MIN,MIN,PHI@MIN,2019_MIN,20,2019,20,38,-3.5,38
PHI,PHI,MIN,MINPHI,10/13/2019,FALSE,6,U.S. Bank Stadium,MIN,PHI,PHI@MIN,2019_PHI,38,2019,20,38,3.5,20
MIN,MIN,TB,MINTB,10/28/2001,FALSE,7,Raymond James Stadium,TB,MIN,MIN@TB,2001_MIN,41,2001,14,41,3,14
TEN,TEN,PIT,PITTEN,10/29/2001,FALSE,7,Heinz Field,PIT,TEN,TEN@PIT,2001_TEN,34,2001,7,34,3,7
ATL,ATL,KC,ATLKC,10/24/2004,FALSE,7,Arrowhead Stadium,KC,ATL,ATL@KC,2004_ATL,56,2004,10,56,3.5,10
ATL,ATL,KC,ATLKC,10/24/2004,FALSE,7,Arrowhead Stadium,KC,KC,ATL@KC,2004_KC,10,2004,10,56,-3.5,56
