A Abreviation,Dog,H Abreviation,Matchup ID,Schedule Date,Schedule Playoff,Schedule Week,Stadium,Team Favorite Id,Team ID,Team's playing,Team_Season,Opponent Score,Schedule Season,Score Away,Score Home,Spread,Team Score
JAX,JAX,LAC,JAXLAC,9/28/2014,FALSE,4,Qualcomm Stadium,LAC,JAX,JAX@LAC,2014_JAX,33,2014,14,33,13,14
JAX,JAX,LAC,JAXLAC,9/28/2014,FALSE,4,Qualcomm Stadium,LAC,LAC,JAX@LAC,2014_LAC,14,2014,14,33,-13,33
IND,IND,SEA,INDSEA,10/1/2017,FALSE,4,CenturyLink Field,SEA,IND,IND@SEA,2017_IND,46,2017,17,46,13,17
IND,IND,SEA,INDSEA,10/1/2017,FALSE,4,CenturyLink Field,SEA,SEA,IND@SEA,2017_SEA,17,2017,17,46,-13,46
LAC,LAC,LAR,LACLAR,10/1/2000,FALSE,5,Edward Jones Dome,LAR,LAC,LAC@LAR,2000_LAC,57,2000,31,57,17,31
CLE,CLE,NE,CLENE,10/7/2007,FALSE,5,Gillette Stadium,NE,CLE,CLE@NE,2007_CLE,34,2007,17,34,15.5,17
CLE,CLE,NE,CLENE,10/7/2007,FALSE,5,Gillette Stadium,NE,NE,CLE@NE,2007_NE,17,2007,17,34,-15.5,34
LVR,LVR,NYG,LVRNYG,10/11/2009,FALSE,5,Giants Stadium,NYG,LVR,LVR@NYG,2009_LVR,44,2009,7,44,15,7
LVR,LVR,NYG,LVRNYG,10/11/2009,FALSE,5,Giants Stadium,NYG,NYG,LVR@NYG,2009_NYG,7,2009,7,44,-15,44
TB,TB,PHI,PHITB,10/11/2009,FALSE,5,Lincoln Financial Field,PHI,PHI,TB@PHI,2009_PHI,14,2009,14,33,-15.5,33
TB,TB,PHI,PHITB,10/11/2009,FALSE,5,Lincoln Financial Field,PHI,TB,TB@PHI,2009_TB,33,2009,14,33,15.5,14
JAX,JAX,LAR,JAXLAR,10/6/2013,FALSE,5,Edward Jones Dome,LAR,JAX,JAX@LAR,2013_JAX,34,2013,20,34,11,20
JAX,JAX,LAR,JAXLAR,10/6/2013,FALSE,5,Edward Jones Dome,LAR,LAR,JAX@LAR,2013_LAR,20,2013,20,34,-11,34
MIA,MIA,TB,MIATB,10/10/2021,FALSE,5,Raymond James Stadium,TB,MIA,MIA@TB,2021_MIA,45,2021,17,45,11,17
MIA,MIA,TB,MIATB,10/10/2021,FALSE,5,Raymond James Stadium,TB,TB,MIA@TB,2021_TB,17,2021,17,45,-11,45
LAR,LAR,IND,INDLAR,10/17/2005,FALSE,6,RCA Dome,IND,IND,LAR@IND,2005_IND,28,2005,28,45,-13,45
